lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,02;0;0,0009;64;1;300;tanh;linear;uniform;2,586179625;2,933366532;0,002471759;0,003849269
0,0005;0,02;0;0,0009;32;1;300;tanh;linear;uniform;2,650625675;2,954618795;0,001246225;0,006587544
0,0005;0,02;0;0,0009;32;1;150;tanh;linear;uniform;2,878287952;3,05658241;0,001753481;0,001029096
0,0005;0,02;0;0,0009;64;1;150;tanh;linear;uniform;2,803715466;3,101482113;0,001339911;0,000865526
0,005;0,02;0;0,0009;64;1;300;tanh;linear;uniform;3,029000022;3,180956543;0,006014197;0,001485568
0,0005;0,02;0;0,0009;64;1;300;sigmoid;linear;uniform;3,18115512;3,273213361;0,003706031;0,006769226
0,0005;0,02;0;0,0009;32;1;300;sigmoid;linear;uniform;3,208852655;3,284129199;0,002212684;0,005973357
0,005;0,02;0;0,0009;64;1;150;tanh;linear;uniform;3,165758622;3,29139407;0,002311269;0,006692395
0,0005;0,02;0;0,0009;64;1;150;sigmoid;linear;uniform;3,245374835;3,30210364;0,000517988;0,002731971
0,005;0,02;0;0,0009;32;1;300;tanh;linear;uniform;3,202399501;3,311000317;0,012445214;0,007583029
0,005;0,02;0;0,0009;32;1;150;tanh;linear;uniform;3,243527377;3,351527755;0,001354202;0,013474595
0,0005;0,02;0;0,0009;32;1;150;sigmoid;linear;uniform;3,302610773;3,429172117;0,002040802;0,008620648
0,005;0,02;0;0,0009;64;1;300;sigmoid;linear;uniform;3,409699178;3,440714862;0,00060125;0,00832858
0,0005;0,001;0;0,0009;64;1;300;sigmoid;linear;uniform;3,390158446;3,443624559;0,00166641;0,006597539
0,0005;0,001;0;0,0009;32;1;300;sigmoid;linear;uniform;3,432969749;3,471812633;0,000224107;0,00026753
0,005;0,02;0;0,0009;64;1;150;sigmoid;linear;uniform;3,469150189;3,506764453;0,001810552;0,007612144
0,005;0,02;0;0,0009;32;1;300;sigmoid;linear;uniform;3,514340333;3,564389286;0,005992859;0,008898683
0,005;0,02;0;0,0009;32;1;150;sigmoid;linear;uniform;3,551456865;3,580884343;0,004401211;0,014241898
0,0005;0,001;0;0,0009;64;1;150;sigmoid;linear;uniform;3,577289803;3,604334842;0,00054173;0,002878572
0,0005;0,001;0;0,0009;32;1;150;sigmoid;linear;uniform;3,642937894;3,679471689;0,002004505;0,005105987
0,005;0,001;0;0,0009;32;1;300;sigmoid;linear;uniform;6,437473291;6,444066981;0,006796671;0,033689428
0,0005;0,001;0;0,0009;32;1;300;tanh;linear;uniform;7,416425506;7,590768845;0,01281408;0,036215431
0,0005;0,001;0;0,0009;32;1;150;tanh;linear;uniform;8,117322513;8,251841533;0,000981787;0,008535132
0,005;0,001;0;0,0009;32;1;300;tanh;linear;uniform;8,658592917;8,690240825;0,00121315;0,006875388
0,005;0,001;0;0,0009;64;1;300;sigmoid;linear;uniform;8,983595278;8,98829595;0,000435585;0,005580567
0,005;0,001;0;0,0009;32;1;150;sigmoid;linear;uniform;9,036178286;9,046629336;0,008113358;0,027503562
0,005;0,001;0;0,0009;32;1;150;tanh;linear;uniform;9,051771403;9,084424129;0,010121466;0,042179756
0,005;0,001;0;0,0009;64;1;150;sigmoid;linear;uniform;13,44896268;13,44999647;0,051614739;0,251372192
0,0005;0,001;0;0,0009;64;1;300;tanh;linear;uniform;17,80969939;18,03966185;0,009293499;0,0243474
0,0005;0,001;0;0,0009;64;1;150;tanh;linear;uniform;19,47896625;19,79505075;0,007265857;0,012355604
0,005;0,001;0;0,0009;64;1;300;tanh;linear;uniform;20,80806955;20,9272529;0,017428952;0,081225336
0,005;0,001;0;0,0009;64;1;150;tanh;linear;uniform;21,23176382;21,31704661;0,027306313;0,120239494
