lambda,stepsize,momentum,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,error_train,error_test,error_train_variance,error_test_variance
0.0005,None,None,0.0009,None,1,100,tanh,linear,uniform,26.949475608147377,32.330067317121575,0.0,0.0
0.0005,None,None,0.0009,None,1,100,tanh,linear,xavier,28.046764122537137,30.771382754463488,0.0,0.0
0.0005,None,None,0.0009,None,1,100,sigmoid,linear,uniform,4.2292937325797855,4.748362535205718,0.0,0.0
0.0005,None,None,0.0009,None,1,100,sigmoid,linear,xavier,4.361334205049948,4.829416947907359,0.0,0.0
0.0005,None,None,0.0009,None,1,1000,tanh,linear,uniform,0.9726867185265543,117.02784198669166,0.0,0.0
0.0005,None,None,0.0009,None,1,1000,tanh,linear,xavier,28.281962443354633,31.061863087172146,0.0,0.0
0.0005,None,None,0.0009,None,1,1000,sigmoid,linear,uniform,1.8724064256939517,6.661703013847825,0.0,0.0
0.0005,None,None,0.0009,None,1,1000,sigmoid,linear,xavier,4.875479208254963,5.055062962735982,0.0,0.0
0.0005,None,None,0.0009,None,1,5000,tanh,linear,uniform,0.02768400887414872,58.692000732587175,0.0,0.0
0.0005,None,None,0.0009,None,1,5000,tanh,linear,xavier,30.72132788422736,33.53652278417313,0.0,0.0
0.0005,None,None,0.0009,None,1,5000,sigmoid,linear,uniform,0.6552851867168087,9.29515216744007,0.0,0.0
0.0005,None,None,0.0009,None,1,5000,sigmoid,linear,xavier,5.186159418660111,4.978435275939014,0.0,0.0
0.005,None,None,0.0009,None,1,100,tanh,linear,uniform,27.734536838806818,31.189409132904526,0.0,0.0
0.005,None,None,0.0009,None,1,100,tanh,linear,xavier,28.087423119987676,30.751261681468097,0.0,0.0
0.005,None,None,0.0009,None,1,100,sigmoid,linear,uniform,4.141213384497919,4.888875575907628,0.0,0.0
0.005,None,None,0.0009,None,1,100,sigmoid,linear,xavier,4.817626616492261,4.6316727649606,0.0,0.0
0.005,None,None,0.0009,None,1,1000,tanh,linear,uniform,3.5541702123321253,74.39560474619348,0.0,0.0
0.005,None,None,0.0009,None,1,1000,tanh,linear,xavier,30.324595787319964,32.247379670831215,0.0,0.0
0.005,None,None,0.0009,None,1,1000,sigmoid,linear,uniform,2.6004318895700442,5.488750706401891,0.0,0.0
0.005,None,None,0.0009,None,1,1000,sigmoid,linear,xavier,5.142189415169385,4.971363352296479,0.0,0.0
0.005,None,None,0.0009,None,1,5000,tanh,linear,uniform,0.24468992924018235,59.05268878394985,0.0,0.0
0.005,None,None,0.0009,None,1,5000,tanh,linear,xavier,37.46363527191858,36.919331287366,0.0,0.0
0.005,None,None,0.0009,None,1,5000,sigmoid,linear,uniform,1.6236943924822533,6.861463783307288,0.0,0.0
0.005,None,None,0.0009,None,1,5000,sigmoid,linear,xavier,5.07499396591076,5.204783621287302,0.0,0.0
0.5,None,None,0.0009,None,1,100,tanh,linear,uniform,27.355320396945654,31.145146821345147,0.0,0.0
0.5,None,None,0.0009,None,1,100,tanh,linear,xavier,32.8130381760013,35.376900255671984,0.0,0.0
0.5,None,None,0.0009,None,1,100,sigmoid,linear,uniform,4.619662553699173,4.763599436277593,0.0,0.0
0.5,None,None,0.0009,None,1,100,sigmoid,linear,xavier,5.174554857357446,5.023789164908053,0.0,0.0
0.5,None,None,0.0009,None,1,1000,tanh,linear,uniform,14.415612950570287,29.79568453852783,0.0,0.0
0.5,None,None,0.0009,None,1,1000,tanh,linear,xavier,48.457113488428085,49.34603235885412,0.0,0.0
0.5,None,None,0.0009,None,1,1000,sigmoid,linear,uniform,3.9463089958380784,4.405394390905779,0.0,0.0
0.5,None,None,0.0009,None,1,1000,sigmoid,linear,xavier,5.122613534885602,5.152000683513559,0.0,0.0
0.5,None,None,0.0009,None,1,5000,tanh,linear,uniform,6.877055271513737,35.24180535172272,0.0,0.0
0.5,None,None,0.0009,None,1,5000,tanh,linear,xavier,55.166765204228014,56.02765761499649,0.0,0.0
0.5,None,None,0.0009,None,1,5000,sigmoid,linear,uniform,3.3669328298964354,4.614518042562102,0.0,0.0
0.5,None,None,0.0009,None,1,5000,sigmoid,linear,xavier,5.133440160256666,5.114526614126137,0.0,0.0
